PERIOD_DATE,PRODUNIT_ID,QTY
1/2/2021 0:00,ID4,111
1/2/2021 0:00,ID12,"1,335"
1/2/2021 0:00,ID21,271
1/2/2021 0:00,ID20,"1,965"
1/2/2021 0:00,ID16,261
1/2/2021 0:00,ID18,27
1/2/2021 0:00,ID1,39
1/2/2021 0:00,ID5,317
1/2/2021 0:00,ID13,18
1/2/2021 0:00,ID15,6
1/2/2021 0:00,ID14,12
1/2/2021 0:00,ID6,59
1/2/2021 0:00,ID19,170
1/2/2021 0:00,ID11,9
1/2/2021 0:00,ID8,3
1/2/2021 0:00,ID17,74
1/2/2021 0:00,ID3,-
1/3/2021 0:00,ID5,232
1/3/2021 0:00,ID12,"1,017"
1/3/2021 0:00,ID14,305
1/3/2021 0:00,ID15,1
1/3/2021 0:00,ID6,984
1/3/2021 0:00,ID7,2
1/3/2021 0:00,ID19,95
1/3/2021 0:00,ID10,211
1/3/2021 0:00,ID9,18
1/3/2021 0:00,ID8,2
1/3/2021 0:00,ID11,7
1/3/2021 0:00,ID4,317
1/3/2021 0:00,ID3,-
1/3/2021 0:00,ID21,206
1/3/2021 0:00,ID20,"1,924"
1/3/2021 0:00,ID16,555
1/3/2021 0:00,ID18,8
1/3/2021 0:00,ID1,80
1/3/2021 0:00,ID17,204
1/3/2021 0:00,ID13,306
1/4/2021 0:00,ID14,"1,050"
1/4/2021 0:00,ID15,74
1/4/2021 0:00,ID7,13
1/4/2021 0:00,ID19,"2,623"
1/4/2021 0:00,ID8,362
1/4/2021 0:00,ID9,135
1/4/2021 0:00,ID10,529
1/4/2021 0:00,ID11,82
1/4/2021 0:00,ID4,776
1/4/2021 0:00,ID3,50
1/4/2021 0:00,ID21,599
1/4/2021 0:00,ID20,"6,024"
1/4/2021 0:00,ID16,"1,120"
1/4/2021 0:00,ID18,257
1/4/2021 0:00,ID1,467
1/4/2021 0:00,ID17,698
1/4/2021 0:00,ID2,44
1/4/2021 0:00,ID12,"1,302"
1/4/2021 0:00,ID5,"2,116"
1/4/2021 0:00,ID13,"1,124"
1/4/2021 0:00,ID6,"3,293"
1/5/2021 0:00,ID5,"2,472"
1/5/2021 0:00,ID12,"1,217"
1/5/2021 0:00,ID14,"1,401"
1/5/2021 0:00,ID15,74
1/5/2021 0:00,ID6,"4,263"
1/5/2021 0:00,ID7,29
1/5/2021 0:00,ID19,"2,121"
1/5/2021 0:00,ID8,387
1/5/2021 0:00,ID10,294
1/5/2021 0:00,ID9,514
1/5/2021 0:00,ID11,142
1/5/2021 0:00,ID4,936
1/5/2021 0:00,ID3,401
1/5/2021 0:00,ID21,571
1/5/2021 0:00,ID20,"5,057"
1/5/2021 0:00,ID16,813
1/5/2021 0:00,ID18,361
1/5/2021 0:00,ID1,307
1/5/2021 0:00,ID17,555
1/5/2021 0:00,ID2,129
1/5/2021 0:00,ID13,"1,475"
1/6/2021 0:00,ID5,"2,726"
1/6/2021 0:00,ID12,"1,029"
1/6/2021 0:00,ID14,"1,138"
1/6/2021 0:00,ID15,51
1/6/2021 0:00,ID6,"3,102"
1/6/2021 0:00,ID7,24
1/6/2021 0:00,ID19,"2,059"
1/6/2021 0:00,ID10,211
1/6/2021 0:00,ID9,469
1/6/2021 0:00,ID11,109
1/6/2021 0:00,ID8,407
1/6/2021 0:00,ID4,999
1/6/2021 0:00,ID3,138
1/6/2021 0:00,ID21,435
1/6/2021 0:00,ID20,"3,233"
1/6/2021 0:00,ID16,"1,411"
1/6/2021 0:00,ID18,217
1/6/2021 0:00,ID1,382
1/6/2021 0:00,ID17,452
1/6/2021 0:00,ID2,26
1/6/2021 0:00,ID13,"1,189"
1/7/2021 0:00,ID5,"2,243"
